"using (TextFieldParser parser = new TextFieldParser(@""c:\temp\test.csv""))
{
    parser.TextFieldType = FieldType.Delimited;
    parser.SetDelimiters("","");
    while (!parser.EndOfData)
    {
        //Process row
        string[] fields = parser.ReadFields();
        foreach (string field in fields)
        {
            //TODO: Process field
        }
    }
}"," I'm looking for a way through which I can read the CSV by column name, using the first record as the header / field names. "
Suit[] suitValues = Enum.GetValues<Suit>(); foreach (Suit suit in Enum.GetValues<Suit>()){},How can you enumerate an enum in C#?
YourEnum foo = (YourEnum)yourInt;,How do I cast an int to an enum in C#?
"YourEnum foo = (YourEnum) Enum.Parse(typeof(YourEnum), yourString);

// The foo.ToString().Contains("","") check is necessary for 
// enumerations marked with a [Flags] attribute.
if (!Enum.IsDefined(typeof(YourEnum), foo) && !foo.ToString().Contains("",""))
{
    throw new InvalidOperationException(
        $""{yourString} is not an underlying value of the YourEnum enumeration.""
    );
}",cast string to enum
"YourEnum foo = (YourEnum)Enum.ToObject(typeof(YourEnum), yourNum);",cast number to enum
"public static class StringExtensions
{
    public static bool Contains(this string source, string toCheck, StringComparison comp)
    {
        return source?.IndexOf(toCheck, comp) >= 0;
    }
}","Is there a way to make the following return true?
string title = ""ASTRINGTOTEST"";
title.Contains(""string"");"
"public static class ObjectCopier
{
    public static T Clone<T>(T source)
    {
        if (!typeof(T).IsSerializable)
        {
            throw new ArgumentException(""The type must be serializable."", nameof(source));
        }
        if (ReferenceEquals(source, null)) return default;

        using var Stream stream = new MemoryStream();
        IFormatter formatter = new BinaryFormatter();
        formatter.Serialize(stream, source);
        stream.Seek(0, SeekOrigin.Begin);
        return (T)formatter.Deserialize(stream);
    }
}","I want to do deep cloning
And then make changes to the new object that are not reflected in the original object."
"catch (Exception ex)            
{                
    if (ex is FormatException || ex is OverflowException)
    {
        WebId = Guid.Empty;
        return;
    }
    
    throw;
}",Catch multiple exceptions at once?
"using (RNGCryptoServiceProvider rg = new RNGCryptoServiceProvider()) 
{ 
    byte[] rno = new byte[5];    
    rg.GetBytes(rno);    
    int randomvalue = BitConverter.ToInt32(rno, 0); 
}",How do I generate a random integer in C#?
"static byte[] GetBytes(string str)
{
    byte[] bytes = new byte[str.Length * sizeof(char)];
    System.Buffer.BlockCopy(str.ToCharArray(), 0, bytes, 0, bytes.Length);
    return bytes;
}

static string GetString(byte[] bytes)
{
    char[] chars = new char[bytes.Length / sizeof(char)];
    System.Buffer.BlockCopy(bytes, 0, chars, 0, bytes.Length);
    return new string(chars);
}","I'm going to encrypt the string. I can encrypt it without converting, but I'd still like to know why encoding comes to play here."
